,name,geo_index
0,Адыгея,3100
1,Дагестан,3500
2,Ингушетия,3600
3,Кабардино-Балкарская,3700
4,Калмыкия,3800
5,Карачаево-Черкесская,3900
6,Башкортостан,5200
7,Алтай,7400
8,Бурятия,8300
9,Калининградская,23900
10,Карелия,31000
11,Коми,31100
12,Марий Эл,31200
13,Мордовия,31300
14,Северная Осетия - Алания,31500
15,Татарстан,31600
16,Чеченская,32000
17,Чувашская Республика,32100
18,Краснодарский,32300
19,Ставропольский,32600
20,Архангельская,32900
21,Ненецкий,32983
22,Белгородская,33100
23,Брянская,33200
24,Владимирская,33300
25,Волгоградская,33400
26,Вологодская,33500
27,Воронежская,33600
28,Ивановская,33700
29,Калужская,34000
30,Кировская,34300
31,Костромская,34400
32,Курская,34600
33,Ленинградская,34700
34,Липецкая,34800
35,Московская,35000
36,Мурманская,35100
37,Нижегородская,35200
38,Новгородская,35300
39,Орловская,35700
40,Пензенская,35800
41,Псковская,36000
42,Ростовская,36100
43,Рязанская,36200
44,Смоленская,36700
45,Тамбовская,36800
46,Тверская,36900
47,Тульская,37100
48,Ярославская,37600
49,Москва,37700
50,Санкт-Петербург,37800
51,Удмуртская,41800
52,Астраханская,43000
53,Самарская,46300
54,Саратовская,46400
55,Ульяновская,47300
56,Курганская,54500
57,Оренбургская,55600
58,Пермский,55900
59,Свердловская,56600
60,Тюменская,57200
61,Челябинская,57400
62,Ханты-Мансийский Автономный округ - Югра,58600
63,Ямало-Ненецкий,58900
64,Омская,65500
65,Тыва,71700
66,Хакасия,71900
67,Алтайский,72200
68,Красноярский,72400
69,Кемеровская область - Кузбасс,74200
70,Новосибирская,75400
71,Томская,77000
72,Иркутская,83800
73,Саха /Якутия/,91400
74,Амурская,92800
75,Забайкальский,97500
76,Приморский,102500
77,Хабаровский,102700
78,Еврейская,107900
79,Магаданская,114900
80,Сахалинская,116500
81,Камчатский,124100
82,Чукотский,128700
